source,app,title,description,datamodel,"providing_technologies","security_domain",category,"use_case",mitre,killchain,"detection_searches","investigative_searches","contextual_searches","support_searches",qualifiedSearch
"ESCU Searches","DA-ESS-ContentUpdate","Abnormally High AWS Instances Terminated by User - MLTK","This search looks for CloudTrail events where a user successfully terminates an abnormally high number of instances.",,,network,,,,,,,,,"search sourcetype=aws:cloudtrail eventName=TerminateInstances errorCode=success `ec2_excessive_terminateinstances_mltk_input_filter` | bucket span=10m _time  | stats count as instances_terminated by _time src_user  | apply ec2_excessive_terminateinstances_v1  | rename ""IsOutlier(instances_terminated)"" as isOutlier  | where isOutlier=1"
"ESCU Searches","DA-ESS-ContentUpdate","Access LSASS Memory for Dump Creation","Detect memory dumping of the LSASS process.",,,endpoint,,,,,,,,,"search `sysmon` EventCode=10 TargetImage=*lsass.exe CallTrace=*dbgcore.dll* OR CallTrace=*dbghelp.dll* | stats count min(_time) as firstTime max(_time) as lastTime by Computer, TargetImage, TargetProcessId, SourceImage, SourceProcessId | rename Computer as dest | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `access_lsass_memory_for_dump_creation_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Amazon EKS Kubernetes Pod scan detection","This search provides detection information on unauthenticated requests against Kubernetes' Pods API",,,threat,,,,,,,,,"search sourcetype=""aws:cloudwatchlogs:eks"" ""user.username""=""system:anonymous"" verb=list objectRef.resource=pods requestURI=""/api/v1/pods"" | rename source as cluster_name sourceIPs{} as src_ip | stats count min(_time) as firstTime max(_time) as lastTime values(responseStatus.reason) values(responseStatus.code) values(userAgent) values(verb) values(requestURI) by src_ip cluster_name user.username user.groups{} | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)` | `kubernetes_pods_aws_scan_fingerprint_detection`"
"ESCU Searches","DA-ESS-ContentUpdate","Amazon EKS Kubernetes cluster scan detection","This search provides information of unauthenticated requests via user agent and authentication data against Kubernetes cluster in AWS",,,threat,,,,,,,,,"search sourcetype=""aws:cloudwatchlogs:eks"" ""user.username""=""system:anonymous"" userAgent!=""AWS Security Scanner"" | rename sourceIPs{} as src_ip | stats count min(_time) as firstTime max(_time) as lastTime values(responseStatus.reason) values(source) as cluster_name values(responseStatus.code) values(userAgent) as http_user_agent values(verb) values(requestURI) by src_ip user.username user.groups{} | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)` |`kubernetes_aws_scan_fingerprint_detection`"
"ESCU Searches","DA-ESS-ContentUpdate","Attempt To Add Certificate To Untrusted Store","Attempt to add a certificate to the untrusted certificate store",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime values(Processes.process) as process max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=certutil.exe (Processes.process=*-addstore* AND Processes.process=*disallowed* ) by Processes.parent_process Processes.process_name Processes.user | `drop_dm_object_name(""Processes"")` | `security_content_ctime(firstTime)`|`security_content_ctime(lastTime)`"
"ESCU Searches","DA-ESS-ContentUpdate","Attempt To Set Default PowerShell Execution Policy To Unrestricted or Bypass","Monitor for changes of the ExecutionPolicy in the registry to the values ""unrestricted"" or ""bypass"" which allows the execution of malicious scripts.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Registry where Registry.registry_path=*Software\\Microsoft\\Powershell\\1\\ShellIds\\Microsoft.PowerShell* Registry.registry_key_name=ExecutionPolicy (Registry.registry_value_name=Unrestricted OR Registry.registry_value_name=Bypass) by Registry.registry_path Registry.registry_key_name Registry.registry_value_name Registry.dest | `drop_dm_object_name(Registry)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `attempt_to_set_default_powershell_execution_policy_to_unrestricted_or_bypass_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Attempt To Stop Security Service","This search looks for attempts to stop security-related services on the endpoint.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` values(Processes.process) as process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name = net.exe OR  Processes.process_name = sc.exe) Processes.process=""* stop *"" by Processes.process_name Processes.parent_process_name Processes.dest Processes.user | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` |lookup security_services_lookup service as process OUTPUTNEW category, description | search category=security"
"ESCU Searches","DA-ESS-ContentUpdate","Attempted Credential Dump From Registry via Reg.exe","Monitor for execution of reg.exe with parameters specifying an export of keys that contain hashed credentials that attackers may try to crack offline.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name=reg.exe OR Processes.process_name=cmd.exe) Processes.process=*save* (Processes.process=*HKEY_LOCAL_MACHINE\\Security* OR Processes.process=*HKEY_LOCAL_MACHINE\\SAM* OR Processes.process=*HKEY_LOCAL_MACHINE\\System* OR Processes.process=*HKLM\\Security* OR Processes.process=*HKLM\\System* OR Processes.process=*HKLM\\SAM*) by Processes.user Processes.process_name Processes.process Processes.dest | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `attempted_credential_dump_from_registry_via_reg_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Batch File Write to System32","The search looks for a batch file (.bat) written to the Windows system directory tree.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime values(Filesystem.dest) as dest values(Filesystem.file_name) as file_name values(Filesystem.user) as user from datamodel=Endpoint.Filesystem by Filesystem.file_path | `drop_dm_object_name(Filesystem)` | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)`| rex field=file_name ""(?<file_extension>\.[^\.]+)$"" | search file_path=*system32* AND file_extension=.bat"
"ESCU Searches","DA-ESS-ContentUpdate","Child Processes of Spoolsv.exe","This search looks for child processes of spoolsv.exe. This activity is associated with a POC privilege-escalation exploit associated with CVE-2018-8440. Spoolsv.exe is the process associated with the Print Spooler service in Windows and typically runs as SYSTEM.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count values(Processes.process_name) as process_name values(Processes.process) as process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.parent_process_name=spoolsv.exe AND Processes.process_name!=regsvr32.exe by Processes.dest Processes.parent_process Processes.user | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `children_of_spoolsv_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Clients Connecting to Multiple DNS Servers","This search allows you to identify the endpoints that have connected to more than five DNS servers and made DNS Queries over the time frame of the search.","Network_Resolution",,network,,,,,,,,," tstats `security_content_summariesonly` count, values(DNS.dest) AS dest dc(DNS.dest) as dest_count from datamodel=Network_Resolution where DNS.message_type=QUERY by DNS.src | `drop_dm_object_name(""Network_Resolution"")` |where dest_count > 5 | `clients_connecting_to_multiple_dns_servers_output_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Cloud Compute Instance Created By Previously Unseen User","This search looks for cloud compute instances created by users who have not created them before.","Cloud_Infrastructure",,endpoint,,,,,,,,," tstats `security_content_summariesonly` earliest(_time) as firstTime, latest(_time) as lastTime values(Compute.dest) as dest from datamodel=Cloud_Infrastructure.Compute where Compute.action=run by Compute.src_user | `drop_dm_object_name(""Compute"")` | inputlookup append=t previously_seen_cloud_compute_creations_by_user  | stats min(firstTime) as firstTime max(lastTime) as lastTime, values(dest) as dest by src_user | multireport [| table src_user, firstTime, lastTime | outputlookup previously_seen_cloud_compute_creations_by_user | where fact=fiction][| eval new_user=if(firstTime >= relative_time(now(), `previously_seen_cloud_compute_creations_by_user_search_window_begin_offset`), 1, 0) | where new_user=1 | `security_content_ctime(firstTime)`|`security_content_ctime(lastTime)`] | table src_user, dest, firstTime, lastTime"
"ESCU Searches","DA-ESS-ContentUpdate","Cloud Compute Instance Created With Previously Unseen Image","This search looks for cloud compute instances being created with previously unseen image IDs.","Cloud_Infrastructure",,endpoint,,,,,,,,," tstats earliest(_time) as firstTime, latest(_time) as lastTime values(Compute.dest) as dest from datamodel=Cloud_Infrastructure.Compute where Compute.action=run `previously_seen_cloud_compute_image_input_filter` by Compute.image_id, Compute.src_user | `drop_dm_object_name(""Compute"")` | inputlookup append=t previously_seen_cloud_compute_images | stats min(firstTime) as firstTime max(lastTime) as lastTime, values(dest) as dest by image_id, src_user | multireport [| table image_id, firstTime, lastTime | outputlookup previously_seen_cloud_compute_images | where fact=fiction][| eval new_image=if(firstTime >= relative_time(now(), `previously_seen_cloud_compute_image_search_window_begin_offset`), 1, 0) | where new_image=1 | `security_content_ctime(firstTime)`|`security_content_ctime(lastTime)`] | table image_id, dest, src_user, firstTime, lastTime"
"ESCU Searches","DA-ESS-ContentUpdate","Cloud Compute Instance Created With Previously Unseen Instance Type","Find EC2 instances being created with previously unseen instance types.","Cloud_Infrastructure",,endpoint,,,,,,,,," tstats earliest(_time) as firstTime, latest(_time) as lastTime values(Compute.dest) as dest from datamodel=Cloud_Infrastructure.Compute where Compute.event_name=RunInstances `previously_seen_cloud_compute_instance_types_input_filter` by Compute.instance_type, Compute.src_user | `drop_dm_object_name(""Compute"")` | inputlookup append=t previously_seen_cloud_compute_instance_types | stats min(firstTime) as firstTime max(lastTime) as lastTime, values(dest) as dest by instance_type, src_user | multireport [| table instance_type, firstTime, lastTime | outputlookup previously_seen_cloud_compute_instance_types | where fact=fiction][| eval new_type=if(firstTime >= relative_time(now(), `previously_seen_cloud_compute_instance_types_search_window_begin_offset`), 1, 0) | where new_type=1 | `security_content_ctime(firstTime)`|`security_content_ctime(lastTime)`] | table instance_type, dest, src_user, firstTime, lastTime"
"ESCU Searches","DA-ESS-ContentUpdate","Cloud Compute Instance Started In Previously Unused Region","This search looks at cloud-infrastructure events where an instance is created in any region within the last hour and then compares it to a lookup file of previously seen regions where instances have been created.","Cloud_Infrastructure",,network,,,,,,,,," tstats earliest(_time) as firstTime, latest(_time) as lastTime values(Compute.dest) as dest from datamodel=Cloud_Infrastructure.Compute where Compute.event_name=RunInstances `previously_seen_cloud_regions_input_filter` by Compute.region, Compute.src_user | `drop_dm_object_name(""Compute"")` | inputlookup append=t previously_seen_cloud_regions | stats min(firstTime) as firstTime max(lastTime) as lastTime, values(dest) as dest by region, src_user | multireport [| table region, firstTime, lastTime | outputlookup previously_seen_cloud_regions | where fact=fiction][| eval new_region=if(firstTime >= relative_time(now(), `previously_seen_cloud_regions_search_window_begin_offset`), 1, 0) | where new_region=1 | `security_content_ctime(firstTime)`|`security_content_ctime(lastTime)`] | table region, dest, src_user, firstTime, lastTime"
"ESCU Searches","DA-ESS-ContentUpdate","Common Ransomware Extensions","The search looks for file modifications with extensions commonly used by Ransomware",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime values(Filesystem.user) as user values(Filesystem.dest) as dest values(Filesystem.file_path) as file_path from datamodel=Endpoint.Filesystem by Filesystem.file_name | `drop_dm_object_name(Filesystem)` | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)`| rex field=file_name ""(?<file_extension>\.[^\.]+)$"" | `ransomware_extensions` | `common_ransomware_extensions_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Common Ransomware Notes","The search looks for files created with names matching those typically used in ransomware notes that tell the victim how to get their data back.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime values(Filesystem.user) as user values(Filesystem.dest) as dest values(Filesystem.file_path) as file_path from datamodel=Endpoint.Filesystem by Filesystem.file_name | `drop_dm_object_name(Filesystem)` | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)`|`ransomware_notes`| `common_ransomware_notes_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Create Remote Thread into LSASS","Detect remote thread creation into LSASS consistent with credential dumping.",,,endpoint,,,,,,,,,"search `sysmon` EventID=8 TargetImage=*lsass.exe | stats count min(_time) as firstTime max(_time) as lastTime by Computer, EventCode, TargetImage, TargetProcessId | rename Computer as dest | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` |`create_remote_thread_into_lsass_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Create local admin accounts using net.exe","This search looks for the creation of local administrator accounts using net.exe.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count values(Processes.user) as user values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processs.process_name=net.exe OR Processes.process_name=net1.exe) by Processes.process Processes.process_name Processes.dest | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)`  | search (process=*localgroup* OR process=*/add* OR process=*user*) |`create_local_admin_via_net_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Create or delete windows shares using net.exe","This search looks for the creation or deletion of hidden shares using net.exe.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count values(Processes.user) as user values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processs.process_name=net.exe OR Processes.process_name=net1.exe) by Processes.process Processes.process_name Processes.dest | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | search (process=*share* AND process=*delete*) | `create_or_delete_windows_shares_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Creation of Shadow Copy","Monitor for signs that Ntdsutil Vssadmin or Wmic has been used to create a shadow copy.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name=ntdsutil.exe Processes.process=*ntds* Processes.process=*create*) OR (Processes.process_name=vssadmin.exe Processes.process=*create* Processes.process=*shadow*) OR (Processes.process_name=wmic.exe Processes.process=*shadowcopy* Processes.process=*create*) by Processes.dest Processes.user Processes.process_name Processes.process  Processes.parent_process Processes.process_id Processes.parent_process_id | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `creation_of_shadow_copy_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Creation of Shadow Copy with wmic and powershell","This search detects the use of wmic and Powershell to create a shadow copy.",,,endpoint,,,,,,,,,"search `sysmon` Message=*win32_shadowcopy* Message=*Create* | stats count min(_time) as firstTime max(_time) as lastTime by dvc User EventCode Message | rename User as user, dvc as dest | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `creation_of_shadow_copy_with_wmic_and_powershell_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Credential Dumping via Copy Command from Shadow Copy","This search detects credential dumping using copy command from a shadow copy.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=cmd.exe (Processes.process=*\\system32\\config\\sam* OR Processes.process=*\\system32\\config\\security* OR Processes.process=*\\system32\\config\\system* OR Processes.process=*\\windows\\ntds\\ntds.dit*) by Processes.dest Processes.user Processes.process_name Processes.process  Processes.parent_process Processes.process_id Processes.parent_process_id | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `cred_dump_via_copy_from_shadowcopy_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","Credential Dumping via Symlink to Shadow Copy","This search detects the creation of a symlink to a shadow copy.",Endpoint,,endpoint,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=cmd.exe Processes.process=*mklink* Processes.process=*HarddiskVolumeShadowCopy* by Processes.dest Processes.user Processes.process_name Processes.process  Processes.parent_process Processes.process_id Processes.parent_process_id | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `cred_dump_via_symlink_shadowcopy_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","DNS Query Length Outliers - MLTK","This search allows you to identify DNS requests that are unusually large for the record type being requested in your environment.","Network_Resolution",,network,,,,,,,,," tstats `security_content_summariesonly` count min(_time) as start_time max(_time) as end_time values(DNS.src) as src values(DNS.dest) as dest from datamodel=Network_Resolution by DNS.query DNS.record_type | search DNS.record_type=* |  `drop_dm_object_name(DNS)` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | eval query_length = len(query) | apply dns_query_pdfmodel threshold=0.01 | rename ""IsOutlier(query_length)"" as isOutlier | search isOutlier > 0 | sort -query_length | table start_time end_time query record_type count src dest query_length | `dns_query_length_mltk_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","DNS Query Length With High Standard Deviation","This search allows you to identify DNS requests and compute the standard deviation on the length of the names being resolved then filter on two times the standard deviation to show you those queries that are unusually large for your environment.","Network_Resolution",,network,,,,,,,,," tstats `security_content_summariesonly` count from datamodel=Network_Resolution by DNS.query DNS.record_type |  `drop_dm_object_name(""DNS"")` | eval query_length = len(query) | table query query_length record_type count | eventstats stdev(query_length) AS stdev avg(query_length) AS avg p50(query_length) AS p50| where query_length>(avg+stdev*2) | eval z_score=(query_length-avg)/stdev | `dns_query_length_with_high_standard_deviation_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","DNS Query Requests Resolved by Unauthorized DNS Servers","This search will detect DNS requests resolved by unauthorized DNS servers. Legitimate DNS servers should be identified in the Enterprise Security Assets and Identity Framework.","Network_Resolution",,network,,,,,,,,," tstats `security_content_summariesonly` count from datamodel=Network_Resolution where DNS.dest_category != dns_server AND DNS.src_category != dns_server by DNS.src DNS.dest | `drop_dm_object_name(""DNS"")` | `unauthorized_dns_servers_filter`"
"ESCU Searches","DA-ESS-ContentUpdate","DNS record changed","The search takes the DNS records and their answers results of the discovered_dns_records lookup and finds if any records have changed by searching DNS response from the Network_Resolution datamodel across the last day.","Network_Resolution",,network,,,,,,,,," inputlookup discovered_dns_records.csv | rename answer as discovered_answer | join domain[|tstats `security_content_summariesonly` count values(DNS.record_type) as type, values(DNS.answer) as current_answer values(DNS.src) as src from datamodel=Network_Resolution where DNS.message_type=RESPONSE DNS.answer!=""unknown"" DNS.answer!="""" by DNS.query | rename DNS.query as query | where query!=""unknown"" | rex field=query ""(?<domain>\w+\.\w+?)(?:$|/)""] | makemv delim="" "" answer |  makemv delim="" "" type | sort -count | table count,src,domain,type,query,current_answer,discovered_answer | makemv current_answer  | mvexpand current_answer | makemv discovered_answer | eval n=mvfind(discovered_answer, current_answer) | where isnull(n) | `dns_record_changed_filter`"
