source,app,title,description,datamodel,"providing_technologies","security_domain",category,"use_case",mitre,killchain,"detection_searches","investigative_searches","contextual_searches","support_searches",qualifiedSearch
"ESCU Analytic Stories","DA-ESS-ContentUpdate","ColdRoot MacOS RAT","Leverage searches that allow you to detect and investigate unusual activities that relate to the ColdRoot Remote Access Trojan that affects MacOS. An example of some of these activities are changing sensative binaries in the MacOS sub-system detecting process names and executables associated with the RAT detecting when a keyboard tab is installed on a MacOS machine and more.",,"Bluecoat | Bro | Linux | Microsoft Windows | Nessus | OSquery | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | macOS",,Malware,,"Collection | Command and Control | Execution | Persistence","Command and Control | Installation","ESCU - Osquery pack - ColdRoot detection - Rule | ESCU - Processes Tapping Keyboard Events - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Get Vulnerability Logs For Endpoint | ESCU - Investigate Network Traffic From src_ip | ESCU - Investigate Web Activity From src_ip",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Collection and Staging","Monitor for and investigate activities--such as suspicious writes to the Windows Recycling Bin or email servers sending high amounts of traffic to specific hosts for example--that may indicate that an adversary is harvesting and exfiltrating sensitive data.",,"Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Collection | Commonly Used Port | Data Staged | Email Collection","Actions on Objectives","ESCU - Email files written outside of the Outlook directory - Rule | ESCU - Email servers sending high volume traffic to hosts - Rule | ESCU - Hosts receiving high volume of network traffic from email server - Rule | ESCU - Suspicious writes to System Volume Information - Rule | ESCU - Suspicious writes to windows Recycle Bin - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Command and Control","Detect and investigate tactics techniques and procedures leveraged by attackers to establish and operate command and control channels. Implants installed by attackers on compromised endpoints use these channels to receive instructions and send data back to the malicious operators.",,"AWS | Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Command and Control | Commonly Used Port | Defense Evasion | Exfiltration | Exfiltration Over Alternative Protocol | Standard Non-Application Layer Protocol","Actions on Objectives | Command and Control | Delivery","ESCU - Clients Connecting to Multiple DNS Servers - Rule | ESCU - DNS Query Length Outliers - MLTK - Rule | ESCU - DNS Query Length With High Standard Deviation - Rule | ESCU - DNS Query Requests Resolved by Unauthorized DNS Servers - Rule | ESCU - Detect Large Outbound ICMP Packets - Rule | ESCU - Detect Long DNS TXT Record Response - Rule | ESCU - Detect Spike in blocked Outbound Traffic from your AWS - Rule | ESCU - Detect hosts connecting to dynamic domain providers - Rule | ESCU - Detection of DNS Tunnels - Rule | ESCU - Excessive DNS Failures - Rule | ESCU - Prohibited Network Traffic Allowed - Rule | ESCU - Protocol or Port Mismatch - Rule | ESCU - TOR Traffic - Rule","ESCU - AWS Investigate User Activities By ARN | ESCU - AWS Network ACL Details from ID | ESCU - AWS Network Interface details via resourceId | ESCU - Get All AWS Activity From IP Address | ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get DNS traffic ratio | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Process Responsible For The DNS Traffic | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"ESCU - Baseline of DNS Query Length - MLTK | ESCU - Baseline of blocked outbound traffic from AWS",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Common Phishing Frameworks","Detect DNS and web requests to fake websites generated by the EvilGinx2 toolkit. These websites are designed to fool unwitting users who have clicked on a malicious link in a phishing email.",,"Bro | Censys | Splunk Stream",,"Adversary Tactics",,"Command and Control | Spearphishing Link","Command and Control | Delivery","ESCU - Detect DNS requests to Phishing Sites leveraging EvilGinx2 - Rule","ESCU - Get Certificate logs for a domain",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Container Implantation Monitoring & Investigation","Use the searches in this story to monitor your Kubernetes registry repositories for upload and deployment of potentially vulnerable backdoor or implanted containers. These searches provide information on source users destination path container names and repository names. The searches provide context to address Mitre T1525 which refers to container implantation upload to a company's repository either in Amazon Elastic Container Registry Google Container Registry and Azure Container Registry.",,"AWS | GCP",,"Cloud Security",,Persistence,,"ESCU - GCP GCR container uploaded - Rule | ESCU - New container uploaded to AWS ECR - Rule","ESCU - Investigate AWS ECR container listing activity",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Credential Dumping","Uncover activity consistent with credential dumping a technique wherein attackers compromise systems and attempt to obtain and exfiltrate passwords. The threat actors use these pilfered credentials to further escalate privileges and spread throughout a target environment. The included searches in this Analytic Story are designed to identify attempts to credential dumping.",,"Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Credential Access | Credential Dumping | Execution | PowerShell | Scripting","Actions on Objectives | Installation","ESCU - Access LSASS Memory for Dump Creation - Rule | ESCU - Attempt To Set Default PowerShell Execution Policy To Unrestricted or Bypass - Rule | ESCU - Attempted Credential Dump From Registry via Reg.exe - Rule | ESCU - Create Remote Thread into LSASS - Rule | ESCU - Creation of Shadow Copy - Rule | ESCU - Creation of Shadow Copy with wmic and powershell - Rule | ESCU - Credential Dumping via Copy Command from Shadow Copy - Rule | ESCU - Credential Dumping via Symlink to Shadow Copy - Rule | ESCU - Detect Credential Dumping through LSASS access - Rule | ESCU - Detect Mimikatz Using Loaded Images - Rule | ESCU - Dump LSASS via comsvcs DLL - Rule | ESCU - Unsigned Image Loaded by LSASS - Rule","ESCU - Investigate Failed Logins for Multiple Destinations | ESCU - Investigate Pass the Hash Attempts | ESCU - Investigate Pass the Ticket Attempts | ESCU - Investigate Previous Unseen User",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","DHS Report TA18-074A","Monitor for suspicious activities associated with DHS Technical Alert US-CERT TA18-074A. Some of the activities that adversaries used in these compromises included spearfishing attacks malware watering-hole domains many and more.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Nessus | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Malware,,"AppInit DLLs | Authentication Package | Command and Control | Command-Line Interface | Commonly Used Port | Credential Access | Defense Evasion | Disabling Security Tools | Execution | Lateral Movement | Modify Existing Service | Modify Registry | New Service | Persistence | PowerShell | Privilege Escalation | Registry Run Keys / Start Folder | Scheduled Task | Scripting | Valid Accounts","Actions on Objectives | Command and Control | Installation","ESCU - Create local admin accounts using net.exe - Rule | ESCU - Detect New Local Admin account - Rule | ESCU - Detect Outbound SMB Traffic - Rule | ESCU - Detect PsExec With accepteula Flag - Rule | ESCU - First time seen command line argument - Rule | ESCU - Malicious PowerShell Process - Execution Policy Bypass - Rule | ESCU - Processes launching netsh - Rule | ESCU - Registry Keys Used For Persistence - Rule | ESCU - SMB Traffic Spike - MLTK - Rule | ESCU - SMB Traffic Spike - Rule | ESCU - Sc.exe Manipulating Windows Services - Rule | ESCU - Scheduled Task Name Used by Dragonfly Threat Actors - Rule | ESCU - Single Letter Process On Endpoint - Rule | ESCU - Suspicious Reg.exe Process - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process File Activity | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Process Registry Activity | ESCU - Get Registry Activities | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Get Vulnerability Logs For Endpoint | ESCU - Investigate Web Activity From Host",,"ESCU - Baseline of SMB Traffic - MLTK | ESCU - Previously seen command line arguments",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","DNS Amplification Attacks","DNS poses a serious threat as a Denial of Service (DOS) amplifier if it responds to `ANY` queries. This Analytic Story can help you detect attackers who may be abusing your company's DNS infrastructure to launch amplification attacks causing Denial of Service to other victims.",,"Bro | Splunk Enterprise Security | Splunk Stream",,Abuse,,,"Actions on Objectives","ESCU - Large Volume of DNS ANY Queries - Rule","ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","DNS Hijacking","Secure your environment against DNS hijacks with searches that help you detect and investigate unauthorized changes to DNS records.",,"Bro | Splunk Stream",,"Adversary Tactics",,"Command and Control | Defense Evasion | Exfiltration | Exfiltration Over Alternative Protocol","Actions on Objectives | Command and Control","ESCU - Clients Connecting to Multiple DNS Servers - Rule | ESCU - DNS Query Requests Resolved by Unauthorized DNS Servers - Rule | ESCU - DNS record changed - Rule | ESCU - Detect hosts connecting to dynamic domain providers - Rule","ESCU - Get DNS Server History for a host",,"ESCU - Discover DNS records",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Data Protection","Fortify your data-protection arsenal--while continuing to ensure data confidentiality and integrity--with searches that monitor for and help you investigate possible signs of data exfiltration.",,"Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Abuse,,"Command and Control | Commonly Used Port | Defense Evasion | Exfiltration","Actions on Objectives | Command and Control | Installation","ESCU - Detect USB device insertion - Rule | ESCU - Detect hosts connecting to dynamic domain providers - Rule | ESCU - Detection of DNS Tunnels - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get DNS traffic ratio | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Process Info | ESCU - Get Process Responsible For The DNS Traffic | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Disabling Security Tools","Looks for activities and techniques associated with the disabling of security tools on a Windows system such as suspicious `reg.exe` processes processes launching netsh and many others.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Command-Line Interface | Defense Evasion | Disabling Security Tools | Execution | Modify Existing Service | Modify Registry | New Service | Persistence | Privilege Escalation","Actions on Objectives | Installation","ESCU - Attempt To Add Certificate To Untrusted Store - Rule | ESCU - Attempt To Stop Security Service - Rule | ESCU - Processes launching netsh - Rule | ESCU - Sc.exe Manipulating Windows Services - Rule | ESCU - Suspicious Reg.exe Process - Rule | ESCU - Unload Sysmon Filter Driver - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"ESCU - Baseline of SMB Traffic - MLTK | ESCU - Previously seen command line arguments",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Dynamic DNS","Detect and investigate hosts in your environment that may be communicating with dynamic domain providers. Attackers may leverage these services to help them avoid firewall blocks and blacklists.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Malware,,"Command and Control | Defense Evasion | Exfiltration | Exfiltration Over Command and Control Channel | Web Service","Actions on Objectives | Command and Control","ESCU - Detect hosts connecting to dynamic domain providers - Rule | ESCU - Detect web traffic to dynamic domain providers - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get DNS traffic ratio | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Process Responsible For The DNS Traffic | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From src_ip",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Emotet Malware (DHS Report TA18-201A)","Detect rarely used executables specific registry paths that may confer malware survivability and persistence instances where cmd.exe is used to launch script interpreters and other indicators that the Emotet financial malware has compromised your environment.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Cuckoo | DeepSight | Linux | Microsoft Exchange | Microsoft Windows | Nessus | Palo Alto Firewall | SMTP | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | VirusTotal | Ziften | macOS",,Malware,,"Account Discovery | AppInit DLLs | Authentication Package | Command and Control | Command-Line Interface | Commonly Used Port | Defense Evasion | Discovery | Execution | Lateral Movement | Persistence | Registry Run Keys / Start Folder | Third-party Software","Actions on Objectives | Command and Control | Delivery | Exploitation | Installation","ESCU - Detect Rare Executables - Rule | ESCU - Detect Use of cmd.exe to Launch Script Interpreters - Rule | ESCU - Detection of tools built by NirSoft - Rule | ESCU - Email Attachments With Lots Of Spaces - Rule | ESCU - Prohibited Software On Endpoint - Rule | ESCU - Registry Keys Used For Persistence - Rule | ESCU - SMB Traffic Spike - MLTK - Rule | ESCU - SMB Traffic Spike - Rule | ESCU - Suspicious Email Attachment Extensions - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Registry Activities | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get Update Logs For Endpoint | ESCU - Get User Information from Identity Table | ESCU - Get Vulnerability Logs For Endpoint | ESCU - Investigate Web Activity From Host",,"ESCU - Add Prohibited Processes to Enterprise Security | ESCU - Baseline of SMB Traffic - MLTK",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Hidden Cobra Malware","Monitor for and investigate activities including the creation or deletion of hidden shares and file writes that may be evidence of infiltration by North Korean government-sponsored cybercriminals. Details of this activity were reported in DHS Report TA-18-149A.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Nessus | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Malware,,"Command and Control | Command-Line Interface | Commonly Used Port | Credential Access | Execution | Exfiltration | Lateral Movement | Persistence | Remote Desktop Protocol | Scripting","Actions on Objectives | Command and Control","ESCU - Create or delete windows shares using net.exe - Rule | ESCU - DNS Query Length Outliers - MLTK - Rule | ESCU - DNS Query Length With High Standard Deviation - Rule | ESCU - Detect Outbound SMB Traffic - Rule | ESCU - First time seen command line argument - Rule | ESCU - Remote Desktop Network Traffic - Rule | ESCU - Remote Desktop Process Running On System - Rule | ESCU - SMB Traffic Spike - MLTK - Rule | ESCU - SMB Traffic Spike - Rule | ESCU - Suspicious File Write - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get DNS traffic ratio | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Process Responsible For The DNS Traffic | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Get Vulnerability Logs For Endpoint | ESCU - Investigate Successful Remote Desktop Authentications | ESCU - Investigate Web Activity From Host",,"ESCU - Baseline of DNS Query Length - MLTK | ESCU - Baseline of SMB Traffic - MLTK | ESCU - Previously seen command line arguments",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Host Redirection","Detect evidence of tactics used to redirect traffic from a host to a destination other than the one intended--potentially one that is part of an adversary's attack infrastructure. An example is redirecting communications regarding patches and updates or misleading users into visiting a malicious website.",,"Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Splunk Enterprise Security | Splunk Stream | Sysmon | macOS",,Abuse,,"Command and Control | Defense Evasion | Exfiltration | Exfiltration Over Alternative Protocol","Command and Control","ESCU - Clients Connecting to Multiple DNS Servers - Rule | ESCU - DNS Query Requests Resolved by Unauthorized DNS Servers - Rule | ESCU - Windows hosts file modification - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","JBoss Vulnerability","In March of 2016 adversaries were seen using JexBoss--an open-source utility used for testing and exploiting JBoss application servers. These searches help detect evidence of these attacks such as network connections to external resources or web services spawning atypical child processes among others.",,"Apache | Bluecoat | Bro | Nessus | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream",,Vulnerability,,"Defense Evasion | Discovery | Exploitation of Vulnerability | System Information Discovery","Delivery | Reconnaissance","ESCU - Detect attackers scanning for vulnerable JBoss servers - Rule | ESCU - Detect malicious requests to exploit JBoss servers - Rule","ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Vulnerability Logs For Endpoint | ESCU - Investigate Web Activity From Host",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Kubernetes Scanning Activity","This story addresses detection against Kubernetes cluster fingerprint scan and attack by providing information on items such as source ip user agent cluster names.",,"AWS | GCP | Splunk Enterprise Security",,"Cloud Security",,Discovery,Reconnaissance,"ESCU - Amazon EKS Kubernetes Pod scan detection - Rule | ESCU - Amazon EKS Kubernetes cluster scan detection - Rule | ESCU - GCP Kubernetes cluster scan detection - Rule","ESCU - Amazon EKS Kubernetes activity by src_ip | ESCU - GCP Kubernetes activity by src_ip | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint",,"",
